medallion, hack_license, vendor_id, pickup_datetime, payment_type, fare_amount, surcharge, mta_tax, tip_amount, tolls_amount, total_amount
877AAB787A0BCD95781E7DA0770CCB1D,669DD2780CAF48FDADA9F55E816C7608,CMT,2013/01/07 20:48,CSH,12.5,0.5,0.5,0,0,13.5
1944EB168702ED8E6B9FD94E988D0197,1D24DD6F12731B59E72DD7CF387F5011,CMT,2013/01/08 11:12,CSH,10,0,0.5,0,0,10.5
26B6CDD419985C6F551F0FAE87EF3AA9,015760806341352ED97B0F79C8A873BC,CMT,2013/01/06 22:29,CSH,5,0.5,0.5,0,0,6
FC82D4D00FE8AB93B2973EECB3559EA8,F554ED01B1DA0828B956446E40231C46,CMT,2013/01/05 21:28,CSH,11,0.5,0.5,0,0,12
6893BD66639F1F6BD44F8AF1A2756145,C20D9C58D84686C59650065E23996936,CMT,2013/01/05 10:01,CSH,5.5,0,0.5,0,0,6
F6F7D02179BE915B23EF2DB57836442D,088879B44B80CC9ED43724776C539370,VTS,2013/01/13 4:36,CRD,12,0.5,0.5,1.75,0,14.75
BE386D8524FCD16B3727DCF0A32D9B25,4EB96EC9F3A42794DEE233EC8A2616CE,VTS,2013/01/13 4:37,CRD,12,0.5,0.5,3.12,0,16.12
E9FF471F36A91031FE5B6D6228674089,72E0B04464AD6513F6A613AABB04E701,VTS,2013/01/13 4:41,CRD,5.5,0.5,0.5,1.2,0,7.7
E4CF46763B08F900DC762EDEB6C37D2D,92A6C54F05688F8E5CD2E32BBCB4FBA9,VTS,2013/01/13 4:39,CSH,13,0.5,0.5,0,0,14
A5D125F5550BE7822FC6EE156E37733A,08DB3F9FCF01530D6F7E70EB88C3AE5B,VTS,2013/01/13 4:37,CRD,11,0.5,0.5,2,0,14
1E65B7E2D1297CF3B2CA87888C05FE43,F9ABCCCC4483152C248634ADE2435CF0,VTS,2013/01/13 4:26,CSH,15.5,0.5,0.5,0,0,16.5
EE1513D432B07F7E0B5E2ED1EF629086,F31D261881520931062C011366E56A04,VTS,2013/01/13 4:30,CRD,18,0.5,0.5,3.7,0,22.7
90D83E0D0B4FF8DE2923C2977EF22C36,92153937578731DA2B1EC83D91E7FA3E,VTS,2013/01/13 4:37,CSH,8.5,0.5,0.5,0,0,9.5
A56F3CF07F1085B21C365C8D3CED7528,EC2EC41BDE2E812AB5B4881D54B6779F,VTS,2013/01/13 4:32,CSH,12,0.5,0.5,0,0,13
34191B0F711962DA5405CF75A7D520DD,037AEA184D39DEE88D5A1026BAB7F3A0,VTS,2013/01/13 4:31,CRD,17.5,0.5,0.5,3.6,0,22.1
2111CFA825ECEE9430C3F075E8DC2E5A,3B23D23383A197F51D7B27F2C22D366A,VTS,2013/01/13 4:30,CSH,8,0.5,0.5,0,0,9
E5264BF2B41FA581408BDFD747234640,604D2DB02786BB98D83FFE8F1941E961,VTS,2013/01/13 4:02,CSH,43,0.5,0.5,0,0,44
834DBD712775DC97F361886D81DD2D67,5356BA5BA6A91E70E05B42664AF15F5F,VTS,2013/01/13 4:30,CSH,7.5,0.5,0.5,0,0,8.5
AB68F50158A41A4CCB6DFFC7F0D43F93,CD7090567F1CA9696292D722E5F305EE,VTS,2013/01/13 4:33,CSH,4,0.5,0.5,0,0,5
8B17A20F99817F9751EE8683E43B712E,DF72C57F328509CC364656C94021B9B9,VTS,2013/01/13 4:19,CRD,12,0.5,0.5,3.75,0,16.75
69C9DCBC1090B4811286FFA548C58088,7C67FCC44C76FFB7B0802EDAFE717456,VTS,2013/01/13 4:18,CSH,17,0.5,0.5,0,0,18
2F916CFD5E51E9A620F3D4F9D65D2A7B,2A30B29871D56BED841C3D4B199B34B9,VTS,2013/01/13 4:34,CSH,8,0.5,0.5,0,0,9
942EDD26C4E3337133058C095AD23289,B3AE7651824A314746131C8187B20783,VTS,2013/01/13 4:04,CRD,32,0.5,0.5,8.12,0,41.12
92D01E396D7AC7BD09183A7ED793E274,A346D80F83D3C8DB6B2240B13F1FAC9A,VTS,2013/01/13 4:38,CRD,3.5,0.5,0.5,0,0,4.5
F1C63842BC47D1C30A1317560F24FD38,9D0A6E44AF6C07CD7C55792C2E5B44BE,VTS,2013/01/13 4:14,CRD,32,0.5,0.5,6.5,6.5,46
3445DDD1C9D7E53CE70ABA3EA52A71B7,CA99469E60FC200FBAD0B711F059851B,VTS,2013/01/13 4:36,CSH,4,0.5,0.5,0,0,5
867892F8F81A6590EB536BE1D4F6305C,DCAFC607007FA6C88E8331014061CEEA,VTS,2013/01/13 4:16,CSH,22.5,0.5,0.5,0,0,23.5
CEBDF09A60BF166DF41F860742D4D4E1,286430A4C250827AFD37CB33908C99DA,VTS,2013/01/13 4:08,CRD,20.5,0.5,0.5,4.2,0,25.7
